"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 19:43:40 BST 2020","Wed May 20 19:43:42 BST 2020","2228","","My basket","","My basket","user should be able to add and delete item from basket and proceed to checkout","user should be able to add and delete item from basket and proceed to checkout",""
"passed","Wed May 20 19:43:39 BST 2020","Wed May 20 19:43:40 BST 2020","537","","My basket","","My basket","""before all"" hook","""before all"" hook",""
